,Username,Title,Country,Last_Online,Joined,lastrapid,lastblitz,lastdaily,lastbullet,recordrapid,recordblitz,recordbullet,recorddaily
5976,saychesspl,GM,PL,1587673104,1584364975,N/A,"{'rating': 2568, 'date': 1587199364, 'rd': 45}",N/A,"{'rating': 2359, 'date': 1587738480, 'rd': 137}",N/A,"{'win': 36, 'loss': 33, 'draw': 18}","{'win': 2, 'loss': 3, 'draw': 2}",N/A
5977,scrapnel,GM,IS,1587572659,1491131521,"{'rating': 2352, 'date': 1586617552, 'rd': 214}","{'rating': 2581, 'date': 1587754921, 'rd': 24}",N/A,"{'rating': 2055, 'date': 1508187004, 'rd': 316}","{'win': 0, 'loss': 1, 'draw': 1}","{'win': 1575, 'loss': 1339, 'draw': 289}","{'win': 1, 'loss': 0, 'draw': 0}",N/A
5978,sebastian,GM,US,1587691518,1413394822,N/A,"{'rating': 2972, 'date': 1587240524, 'rd': 33}",N/A,"{'rating': 2891, 'date': 1586894296, 'rd': 30}",N/A,"{'win': 946, 'loss': 541, 'draw': 297}","{'win': 355, 'loss': 235, 'draw': 56}",N/A
5979,secretgm,GM,US,1587408916,1323262319,"{'rating': 2400, 'date': 1323325619, 'rd': 249}","{'rating': 2538, 'date': 1587412085, 'rd': 36}",N/A,N/A,"{'win': 0, 'loss': 2, 'draw': 0}","{'win': 742, 'loss': 426, 'draw': 87}",N/A,N/A
5980,sedlak83,GM,RS,1584695384,1540968245,N/A,"{'rating': 2594, 'date': 1584695983, 'rd': 94}",N/A,N/A,N/A,"{'win': 14, 'loss': 8, 'draw': 1}",N/A,N/A
5981,senseijulio,GM,PH,1587651701,1430936306,"{'rating': 2553, 'date': 1549514638, 'rd': 308}","{'rating': 2640, 'date': 1587656102, 'rd': 36}",N/A,"{'rating': 2231, 'date': 1546727115, 'rd': 318}","{'win': 0, 'loss': 1, 'draw': 0}","{'win': 471, 'loss': 398, 'draw': 28}","{'win': 1, 'loss': 0, 'draw': 0}",N/A
5982,sergeiaza,GM,BY,1587071523,1482413378,N/A,"{'rating': 2762, 'date': 1586977815, 'rd': 34}",N/A,"{'rating': 2579, 'date': 1563483595, 'rd': 46}",N/A,"{'win': 1849, 'loss': 1929, 'draw': 380}","{'win': 560, 'loss': 627, 'draw': 49}",N/A
5983,sergey071164,GM,RU,1587667078,1521157375,N/A,"{'rating': 2425, 'date': 1586957741, 'rd': 32}",N/A,N/A,N/A,"{'win': 279, 'loss': 223, 'draw': 51}",N/A,N/A
5984,sergeykarjakin,GM,RU,1587372086,1494941060,N/A,"{'rating': 2928, 'date': 1587240670, 'rd': 65}",N/A,"{'rating': 2890, 'date': 1586953801, 'rd': 136}",N/A,"{'win': 61, 'loss': 19, 'draw': 35}","{'win': 17, 'loss': 21, 'draw': 11}",N/A
5985,sergey_erenburg,GM,US,1581952754,1483579446,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
